 input file is 
10um-10nm-1000F.inp           
 input file comments follow:
*****************************************************
10um host, 100nm rim, 10nm Fe x 1000 FIXED
*****************************************************
 number of processors:
  11
 input parameters for run number 
    1
 number of spheres, volume size parameter:
 1002  0.45777E+02
 position file:
                                                            
 output file:
dat/700nm.dat                                               
 length, ref. indx. scale factors:
   0.009   1.000   1.000
 chiral factors:
  0.00000E+00  0.00000E+00
 scattering matrix directions based on incident frame
 automatic scattering angle calculation
 thetamin, thetamax:
      0.0    180.0
 phimin, phimax:
      0.0      0.0
 number scattering angles:
      181
 epsmie, epssoln, max number iterations:
  0.1000E-05  0.1000E-07 5000
 medium refractive index:
  1.0000  0.0000
 target euler rotation angles:
    0.0000    0.0000    0.0000
 far field kr, iterations/correction:
  0.1000E+09   20
 plane wave incidence
 fixed orientation calculations
 incident azimuth and polar angles:
     0.000     0.000
 common expansion epsilon:
  0.1000E-05
 scattering coefficients calculated, stored in file 
sc/700nm.sc.dat                                             
 calculation results for run 
    1
 sphere host   ka     x-x(host) y-y(host) z-z(host)  Re(m)     Im(m)      Qext         Qsca        Qabs         Qabs(V)
   43    2    0.0449    2.9805    4.7060  -44.9735  3.428230  3.399010  0.00000E+00  0.16005E-03  0.15702E+00  0.15702E+00
   44    2    0.0449   32.7103   18.1212  -25.4082  3.428230  3.399010  0.00000E+00  0.10678E-03  0.10470E+00  0.10470E+00
   45    2    0.0449   10.0940  -32.1230   30.6193  3.428230  3.399010  0.00000E+00  0.21725E-06  0.21316E-03  0.21316E-03
   46    2    0.0449   13.1984   43.2042   -1.7618  3.428230  3.399010  0.00000E+00  0.24878E-04  0.24395E-01  0.24395E-01
   47    2    0.0449  -32.6837   -3.9591  -30.6647  3.428230  3.399010  0.00000E+00  0.13976E-03  0.13697E+00  0.13697E+00
   48    2    0.0449   12.7589   38.9622   19.3466  3.428230  3.399010  0.00000E+00  0.16924E-05  0.16593E-02  0.16593E-02
   49    2    0.0449  -28.6675    6.4264   34.2164  3.428230  3.399010  0.00000E+00  0.96936E-07  0.95193E-04  0.95193E-04
   50    2    0.0449  -13.2510  -15.9976   40.6375  3.428230  3.399010  0.00000E+00  0.25918E-07  0.25496E-04  0.25496E-04
   51    2    0.0449  -28.4202   -8.2140  -34.2901  3.428230  3.399010  0.00000E+00  0.13277E-03  0.13021E+00  0.13021E+00
   52    2    0.0449  -25.0333   37.6255   -5.3205  3.428230  3.399010  0.00000E+00  0.29173E-04  0.28634E-01  0.28634E-01
   53    2    0.0449  -16.8198  -18.4468   37.8936  3.428230  3.399010  0.00000E+00  0.45688E-07  0.44614E-04  0.44614E-04
   54    2    0.0449  -43.8219    7.1643   -8.7706  3.428230  3.399010  0.00000E+00  0.43177E-04  0.42343E-01  0.42343E-01
   55    2    0.0449   -0.2185  -10.3499   44.2312  3.428230  3.399010  0.00000E+00  0.14493E-07  0.14629E-04  0.14629E-04
   56    2    0.0449  -17.2722    4.6813  -41.7299  3.428230  3.399010  0.00000E+00  0.14076E-03  0.13817E+00  0.13817E+00
   57    2    0.0449  -30.8004  -32.7045    7.9733  3.428230  3.399010  0.00000E+00  0.73830E-05  0.72471E-02  0.72471E-02
   58    2    0.0449  -45.1804   -3.1694   -0.5238  3.428230  3.399010  0.00000E+00  0.21315E-04  0.20901E-01  0.20901E-01
   59    2    0.0449   34.4154   17.5285   23.7358  3.428230  3.399010  0.00000E+00  0.80969E-06  0.79407E-03  0.79407E-03
   60    2    0.0449   -2.9638   -3.2235   44.9716  3.428230  3.399010  0.00000E+00  0.21456E-06  0.21194E-03  0.21194E-03
   61    2    0.0449   -9.6704   23.0125   37.6408  3.428230  3.399010  0.00000E+00  0.43249E-07  0.42309E-04  0.42309E-04
   62    2    0.0449   26.7319    0.3585  -36.6725  3.428230  3.399010  0.00000E+00  0.13026E-03  0.12782E+00  0.12782E+00
   63    2    0.0449   -8.3708   12.0709  -43.0330  3.428230  3.399010  0.00000E+00  0.13664E-03  0.13419E+00  0.13419E+00
   64    2    0.0449   29.0529  -19.0125   29.4080  3.428230  3.399010  0.00000E+00  0.28270E-06  0.27688E-03  0.27688E-03
   65    2    0.0449  -42.0201   -3.1718  -17.2867  3.428230  3.399010  0.00000E+00  0.61216E-04  0.60099E-01  0.60099E-01
   66    2    0.0449   24.1062   34.8306  -16.8464  3.428230  3.399010  0.00000E+00  0.58733E-04  0.57671E-01  0.57671E-01
   67    2    0.0449   13.6608  -38.6061   19.4227  3.428230  3.399010  0.00000E+00  0.16782E-05  0.16453E-02  0.16453E-02
   68    2    0.0449    0.2411   29.2904  -34.4792  3.428230  3.399010  0.00000E+00  0.13795E-03  0.13526E+00  0.13526E+00
   69    2    0.0449  -22.3730  -30.9833  -24.0025  3.428230  3.399010  0.00000E+00  0.10564E-03  0.10356E+00  0.10356E+00
   70    2    0.0449   22.9789   34.2066  -18.9829  3.428230  3.399010  0.00000E+00  0.73917E-04  0.72525E-01  0.72525E-01
   71    2    0.0449  -10.3542    9.4278   43.2165  3.428230  3.399010  0.00000E+00  0.11941E-07  0.11408E-04  0.11408E-04
   72    2    0.0449  -44.9209    0.0869    1.3365  3.428230  3.399010  0.00000E+00  0.19755E-04  0.19366E-01  0.19366E-01
   73    2    0.0449   -3.6085   -1.1501  -45.4486  3.428230  3.399010  0.00000E+00  0.13193E-03  0.12965E+00  0.12965E+00
   74    2    0.0449    8.7919  -35.9819   25.6342  3.428230  3.399010  0.00000E+00  0.60268E-06  0.59103E-03  0.59103E-03
   75    2    0.0449  -21.6954   37.1046   14.7881  3.428230  3.399010  0.00000E+00  0.31995E-05  0.31389E-02  0.31389E-02
   76    2    0.0449  -38.3941   24.5283   -3.1267  3.428230  3.399010  0.00000E+00  0.22764E-04  0.22352E-01  0.22352E-01
   77    2    0.0449  -27.9881  -11.6793  -33.7761  3.428230  3.399010  0.00000E+00  0.12093E-03  0.11867E+00  0.11867E+00
